probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
ILMN_2179778	2.16007254616666	11.0093356205714	26.0526998302608	7.16334893720803e-10	4.44446342428257e-08	13.3444105691857	PHLDB2
ILMN_1789641	2.26049166766667	7.59755233771429	26.0343067510324	7.20904848574864e-10	4.45887898634888e-08	13.3376712396692	ABCG2
ILMN_3250879	-1.73188188908333	7.87232895657143	-26.0311057025026	7.21703479436357e-10	4.45887898634888e-08	13.3364978415536	ANGPT2
ILMN_2402600	2.98118939216667	8.56071165785714	25.9034863674115	7.54356398426451e-10	4.65080571114076e-08	13.2895918541912	GLIS3
ILMN_1766377	1.85791951525	8.50547827342857	25.8951178243906	7.56554110868419e-10	4.65455612117261e-08	13.2865074817382	PCDHB6
ILMN_2117623	-2.48956199466667	10.1355831525714	-25.8846829873152	7.5930441221957e-10	4.66168337774636e-08	13.2826600617786	PLXNC1
ILMN_3184724	2.6210486925	10.17046728	25.8384530164893	7.71623238919829e-10	4.72740304430276e-08	13.2655948740419	C7orf58
ILMN_1785272	2.5152316755	9.26148914014286	25.8202011012131	7.76547654745061e-10	4.74764051549251e-08	13.2588485188304	COL1A2
ILMN_1781966	3.03463332466667	8.23876138285714	25.8126226687165	7.78602561829349e-10	4.75028667149426e-08	13.2560458615893	OSBP2
ILMN_2068104	2.74147624683333	9.729093021	25.78322993257	7.86629671367711e-10	4.78928272889884e-08	13.2451675920879	TFPI2
ILMN_1681067	1.61771003216667	6.051263563	25.7695291210945	7.90402648531849e-10	4.79678947647136e-08	13.2400924296113	PIK3R5
ILMN_1803213	2.51758660216666	8.48267466885714	25.7668651998126	7.91138575084742e-10	4.79678947647136e-08	13.2391053074787	MXRA5
ILMN_1792679	3.54390923133333	11.009377593	25.72657287659	8.02362724731432e-10	4.85196406315996e-08	13.2241617181592	ITGA5
ILMN_1732831	2.00997356283333	8.95224475428572	25.7223396173543	8.03552183927807e-10	4.85196406315996e-08	13.2225902532742	CHST7
ILMN_1801584	-1.90056467166667	9.88757619142857	-25.6527522101417	8.23387597300784e-10	4.96150324834433e-08	13.1967188483701	CXCR4
ILMN_1767685	1.73857678833333	6.93311824614286	25.6374550508384	8.27820337229982e-10	4.97551093055603e-08	13.1910216816984	SERPINB7
ILMN_1727532	2.1698033345	10.6355404377143	25.6330207143704	8.29110238726769e-10	4.97551093055603e-08	13.1893695169678	OLFML3
ILMN_1732154	-1.812744169	10.6112803291429	-25.6186803597215	8.33296970907862e-10	4.99040936462919e-08	13.1840244558853	BCAN
ILMN_2315780	1.870822821	9.355433026	25.6098692353574	8.35881037862941e-10	4.9956686109829e-08	13.1807387293151	TACC2
ILMN_1707475	2.04585065883333	9.254465313	25.5645263733641	8.49320119066823e-10	5.06564963072748e-08	13.163811169796	UBE2E2
ILMN_1676880	-2.17377775283334	10.0116959674286	-25.5579831286647	8.51279155483899e-10	5.06701424153373e-08	13.1613658043998	CORO2B
ILMN_1660691	1.91680638166666	11.2941957757143	25.5298970702139	8.59745149022594e-10	5.09746521137487e-08	13.1508618655749	RAB31
ILMN_2298301	2.90394744733333	7.23098638	25.5294643105419	8.59876323858353e-10	5.09746521137487e-08	13.1506999218332	BNC1
ILMN_1774806	3.24767595	8.68727485357143	25.4534412206472	8.83267841146451e-10	5.21811870006128e-08	13.1222061331163	SLC9A7
ILMN_1808059	2.66278498641667	8.48895266814286	25.4517611526894	8.83792684046576e-10	5.21811870006128e-08	13.1215754223453	BCAS4
ILMN_1660356	1.76203253633333	6.06333345471429	25.4390675748019	8.87769269238157e-10	5.22202720182893e-08	13.1168087328733	PPP4R4
ILMN_1749032	4.13946499191667	7.02331598714286	25.4376523101388	8.88213864146784e-10	5.22202720182893e-08	13.1162771175283	CREB3L1
ILMN_1803560	2.46095486483333	9.60306583042857	25.4325962930607	8.89804191126049e-10	5.22202720182893e-08	13.1143776728036	LAT2
ILMN_1655374	-2.33447600316667	7.78882884514286	-25.4000267378559	9.00124623384276e-10	5.26836077653593e-08	13.1021323852124	SELV
ILMN_1682301	2.31793917825	6.24663553628571	25.3963525944203	9.01297165458255e-10	5.26836077653593e-08	13.100749965466	OPCML
